id,set,label
0,test,2
1,train,11
2,train,3
3,train,2
4,train,3
5,train,9
6,train,3
7,test,10
8,train,12
9,test,3
10,train,0
11,train,7
12,train,4
13,train,0
14,train,0
15,test,1
16,test,1
17,train,2
18,train,4
19,train,2
20,train,0
21,test,1
22,train,2
23,train,2
24,train,12
25,train,4
26,test,3
27,train,4
28,test,1
29,train,1
30,train,7
31,train,0
32,train,0
33,test,3
34,train,1
35,train,1
36,train,0
37,train,1
38,train,1
39,train,4
40,train,2
41,train,0
42,test,3
43,test,1
44,train,9
45,train,7
46,train,2
47,train,2
48,train,2
49,train,7
50,test,6
51,train,2
52,train,6
53,train,3
54,train,1
55,train,1
56,train,0
57,test,10
58,train,3
59,train,2
60,train,3
61,train,3
62,train,4
63,test,3
64,train,11
65,train,10
66,train,11
67,train,5
68,train,2
69,train,5
70,train,11
71,train,6
72,train,1
73,train,8
74,train,9
75,train,2
76,train,2
77,train,8
78,train,2
79,train,11
80,test,0
81,train,2
82,train,8
83,train,5
84,train,0
85,train,1
86,train,0
87,train,0
88,train,4
89,train,1
90,train,6
91,train,1
92,train,13
93,train,1
94,train,6
95,train,7
96,test,1
97,test,2
98,train,2
99,test,4
100,train,9
101,train,1
102,test,7
103,test,1
104,train,1
105,train,4
106,train,1
107,train,3
108,train,2
109,train,1
110,train,4
111,test,1
112,train,1
113,test,12
114,train,5
115,train,0
116,test,8
117,test,6
118,train,1
119,train,0
120,train,11
121,train,1
122,train,0
123,train,1
124,train,10
125,test,4
126,test,7
127,train,9
128,train,12
129,test,5
130,train,3
131,train,8
132,train,2
133,train,6
134,train,8
135,train,2
136,test,3
137,train,1
138,test,2
139,test,0
140,train,2
141,train,2
142,train,3
143,train,1
144,train,9
145,test,1
146,test,7
147,train,10
148,train,0
149,test,2
150,train,5
151,train,9
152,test,1
153,train,2
154,train,6
155,train,0
156,train,3
157,train,3
158,train,3
159,train,0
160,train,11
161,train,0
162,test,4
163,test,5
164,train,10
165,train,1
166,test,0
167,train,8
168,train,11
169,train,3
170,train,3
171,test,3
172,train,2
173,train,3
174,train,0
175,train,1
176,train,1
177,train,9
178,train,1
179,test,2
180,train,0
181,train,7
182,train,8
183,train,1
184,train,3
185,train,3
186,train,7
187,test,2
188,train,1
189,test,1
190,train,5
191,train,1
192,train,0
193,train,0
194,train,1
195,test,4
196,train,0
197,train,1
198,test,2
199,train,0
200,test,2
201,train,7
202,train,6
203,test,0
204,train,0
205,train,0
206,test,10
207,train,3
208,test,4
209,train,7
210,train,8
211,train,2
212,train,0
213,train,3
214,train,8
215,train,0
216,train,6
217,train,0
218,test,7
219,train,3
220,train,1
221,train,1
222,test,1
223,train,1
224,train,0
225,train,8
226,train,4
227,train,5
228,train,0
229,train,1
230,train,3
231,train,2
232,train,2
233,train,0
234,train,1
235,train,2
236,train,1
237,train,0
238,train,0
239,train,2
240,train,8
241,train,0
242,train,2
243,test,7
244,train,2
245,train,2
246,train,2
247,test,1
248,train,1
249,test,1
250,train,1
251,train,5
252,train,4
253,train,3
254,train,1
255,train,1
256,train,1
257,train,0
258,train,5
259,train,1
260,train,3
261,train,0
262,test,8
263,train,3
264,test,3
265,train,0
266,train,4
267,train,5
268,train,2
269,train,0
270,train,1
271,train,2
272,train,2
273,train,1
274,train,0
275,train,5
276,test,1
277,train,0
278,train,2
279,train,1
280,train,4
281,train,13
282,test,1
